Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date
1.66061E+12,0.375,0.3784,0.3666,0.377,196904975,1.66069E+12,73556611.69,121180,96207662,35948624.05,0,16-08-2022
1.66069E+12,0.377,0.3923,0.368,0.3795,333525617,1.66078E+12,126759099.1,222987,169311616,64372334.93,0,17-08-2022
1.66078E+12,0.3796,0.3815,0.3691,0.3704,206448429,1.66087E+12,77574097.08,132439,105091124,39492137.39,0,18-08-2022
1.66087E+12,0.3703,0.3707,0.3309,0.3344,437831008,1.66095E+12,151469808.3,252658,216949759,74980178.17,0,19-08-2022
1.66095E+12,0.3345,0.3428,0.3321,0.3368,206218319,1.66104E+12,69893445.42,118265,101881664,34536141.69,0,20-08-2022
1.66104E+12,0.3368,0.3485,0.3355,0.3449,185595697,1.66113E+12,63540311.14,103455,92296282,31592925.95,0,21-08-2022
1.66113E+12,0.3448,0.3453,0.3313,0.344,259125051,1.66121E+12,87411174.77,139631,134395867,45341113.07,0,22-08-2022
1.66121E+12,0.344,0.348,0.3326,0.3472,224844843,1.6613E+12,76705168.21,120750,117130796,39962509.1,0,23-08-2022
1.6613E+12,0.3473,0.3525,0.3389,0.3456,190760736,1.66139E+12,65685897.52,112208,95102376,32742791.92,0,24-08-2022
1.66139E+12,0.3456,0.3522,0.3435,0.3491,200831070,1.66147E+12,69764352.31,114924,101959250,35423162.64,0,25-08-2022
1.66147E+12,0.3491,0.3712,0.3325,0.3393,439211758,1.66156E+12,153665419.4,269092,224371229,78493034.36,0,26-08-2022
1.66156E+12,0.3393,0.3447,0.3283,0.3346,175871454,1.66164E+12,58855369.86,116416,87752033,29368141.12,0,27-08-2022
1.66164E+12,0.3346,0.3373,0.3213,0.3224,148984590,1.66173E+12,49504782.34,90560,71255300,23680587.89,0,28-08-2022
1.66173E+12,0.3223,0.3342,0.3186,0.3337,268856257,1.66182E+12,87361744.47,136287,142633743,46359313.38,0,29-08-2022
1.66182E+12,0.3337,0.3359,0.32,0.3267,213879108,1.6619E+12,70259688.58,127485,108052191,35515375.33,0,30-08-2022
1.6619E+12,0.3268,0.3339,0.323,0.3277,195043842,1.66199E+12,64322459.05,117716,94381318,31137094.82,0,31-08-2022
1.66199E+12,0.3276,0.3334,0.3215,0.3331,183564987,1.66208E+12,59848811.89,113186,98551814,32119453.52,0,01-09-2022
1.66208E+12,0.3332,0.3355,0.3253,0.3314,179601436,1.66216E+12,59352103.37,104285,93724081,30979579.14,0,02-09-2022
1.66216E+12,0.3315,0.335,0.3265,0.3297,103317904,1.66225E+12,34043843.12,63442,49306559,16251627.51,0,03-09-2022
